Num params:  62437601
cuda 68
Epoch 179 2024-05-09 17:43:23.710085 | step 000 Loss: 0.062461502850055695 
Epoch 180 2024-05-09 17:43:49.521094 | step 000 Loss: 0.0658627450466156 
Epoch 181 2024-05-09 17:44:15.326390 | step 000 Loss: 0.0649065226316452 
Epoch 182 2024-05-09 17:44:41.131168 | step 000 Loss: 0.06507256627082825 
Epoch 183 2024-05-09 17:45:06.940882 | step 000 Loss: 0.06557358801364899 
Epoch 184 2024-05-09 17:45:32.750123 | step 000 Loss: 0.06492968648672104 
Epoch 185 2024-05-09 17:45:58.549946 | step 000 Loss: 0.06280206888914108 
Epoch 186 2024-05-09 17:46:24.355556 | step 000 Loss: 0.0623786598443985 
Epoch 187 2024-05-09 17:46:50.162802 | step 000 Loss: 0.06333936005830765 
Epoch 188 2024-05-09 17:47:15.966917 | step 000 Loss: 0.06297352910041809 
Epoch 189 2024-05-09 17:47:41.774792 | step 000 Loss: 0.06292908638715744 
Epoch 190 2024-05-09 17:48:07.581994 | step 000 Loss: 0.06444202363491058 
Epoch 191 2024-05-09 17:48:33.391844 | step 000 Loss: 0.0626482218503952 
Epoch 192 2024-05-09 17:48:59.195910 | step 000 Loss: 0.062418680638074875 
Epoch 193 2024-05-09 17:49:25.000262 | step 000 Loss: 0.0640445351600647 
Epoch 194 2024-05-09 17:49:50.808642 | step 000 Loss: 0.06353507190942764 
Epoch 195 2024-05-09 17:50:16.616666 | step 000 Loss: 0.06613221764564514 
Epoch 196 2024-05-09 17:50:42.422766 | step 000 Loss: 0.0628533810377121 
Epoch 197 2024-05-09 17:51:08.231489 | step 000 Loss: 0.06453922390937805 
Epoch 198 2024-05-09 17:51:34.033142 | step 000 Loss: 0.06269194185733795 
Epoch 199 2024-05-09 17:51:59.840476 | step 000 Loss: 0.06470725685358047 
Epoch 200 2024-05-09 17:52:25.642523 | step 000 Loss: 0.06262965500354767 
Epoch 201 2024-05-09 17:52:51.794203 | step 000 Loss: 0.0632023811340332 
Epoch 202 2024-05-09 17:53:17.593697 | step 000 Loss: 0.06454168260097504 
Epoch 203 2024-05-09 17:53:43.392599 | step 000 Loss: 0.06320074200630188 
Epoch 204 2024-05-09 17:54:09.194363 | step 000 Loss: 0.06552579253911972 
Epoch 205 2024-05-09 17:54:34.998139 | step 000 Loss: 0.0628511905670166 
Epoch 206 2024-05-09 17:55:00.799258 | step 000 Loss: 0.06399528682231903 
Epoch 207 2024-05-09 17:55:26.604453 | step 000 Loss: 0.06247693672776222 
Epoch 208 2024-05-09 17:55:52.409637 | step 000 Loss: 0.06274296343326569 
Epoch 209 2024-05-09 17:56:18.214299 | step 000 Loss: 0.06321588158607483 
Epoch 210 2024-05-09 17:56:44.018938 | step 000 Loss: 0.06213786453008652 
Epoch 211 2024-05-09 17:57:09.824975 | step 000 Loss: 0.06239422410726547 
Epoch 212 2024-05-09 17:57:35.627768 | step 000 Loss: 0.06321664154529572 
Epoch 213 2024-05-09 17:58:01.434969 | step 000 Loss: 0.06420750916004181 
